,Time,OPEN,CLOSE,HIGH,LOW,MEAN,MA1,MA5,MA20,  VOLUME, MACD  ,  RSI12  ,ROC   ,MTM,K,  D     , J     ,response
888,2017-04-14 00:00:00,287.55,287.7,288.05,286.75,287.88,287.7,285.13,281.16,152170.0,1.35,71.38,2.02,5.7,84.35,76.29,100.48,0.55
889,2017-04-17 00:00:00,288.05,287.2,290.05,286.95,288.63,287.2,286.13,281.66,196830.0,1.28,69.09,2.13,6.0,80.81,77.8,86.84,-0.5
890,2017-04-18 00:00:00,286.9,286.45,287.9,285.8,287.18,286.45,286.87,282.13,194112.0,1.04,65.65,2.08,5.85,76.15,77.25,73.95,-0.75
891,2017-04-19 00:00:00,286.6,286.3,287.7,285.2,287.0,286.3,286.96,282.52,250222.0,0.78,64.94,2.03,5.7,71.15,75.21,63.01,-0.15
892,2017-04-20 00:00:00,286.55,286.1,286.75,284.75,286.43,286.1,286.75,282.96,216358.0,0.51,63.94,2.69,7.5,66.37,72.27,54.59,-0.2
893,2017-04-21 00:00:00,285.95,285.9,286.35,285.25,286.13,285.9,286.39,283.27,170642.0,0.24,62.89,1.65,4.65,62.46,69.0,49.39,-0.2
894,2017-04-24 00:00:00,286.35,283.9,287.95,283.5,285.93,283.9,285.73,283.47,310052.0,-0.23,53.28,0.94,2.65,44.83,60.94,12.6,-2.0
895,2017-04-25 00:00:00,283.35,283.9,284.4,282.95,284.15,283.9,285.22,283.72,166292.0,-0.56,53.28,0.14,0.4,34.35,52.08,-1.12,0.0
896,2017-04-26 00:00:00,282.75,282.45,283.55,282.15,283.0,282.45,284.45,283.74,183112.0,-0.96,47.08,0.09,0.25,24.16,42.77,-13.06,-1.45
897,2017-04-27 00:00:00,282.55,282.85,283.55,282.05,283.2,282.85,283.8,283.83,154594.0,-1.14,48.87,0.04,0.1,19.44,35.0,-11.66,0.4
898,2017-04-28 00:00:00,283.1,283.2,283.25,282.3,283.23,283.2,283.26,283.96,129946.0,-1.19,50.47,-0.93,-2.65,19.46,29.82,-1.26,0.35
899,2017-05-02 00:00:00,283.8,283.9,284.4,283.55,284.15,283.9,283.26,284.12,39920.0,-1.1,53.64,-1.13,-3.25,23.42,27.69,14.9,0.7
900,2017-05-03 00:00:00,283.05,283.3,283.7,282.85,283.5,283.3,283.14,284.36,30714.0,-1.1,50.61,-1.53,-4.4,22.68,26.02,16.0,-0.6
901,2017-05-04 00:00:00,283.0,279.65,283.25,278.7,281.45,279.65,282.58,284.27,92606.0,-1.53,36.83,-2.63,-7.55,18.54,23.53,8.58,-3.65
902,2017-05-05 00:00:00,278.05,278.8,280.0,277.4,279.4,278.8,281.77,284.15,102698.0,-1.85,34.44,-2.67,-7.65,16.78,21.28,7.8,-0.85
903,2017-05-08 00:00:00,278.3,278.5,279.35,278.05,278.93,278.5,280.83,283.9,86346.0,-2.01,33.6,-2.72,-7.8,16.43,19.66,9.96,-0.3
904,2017-05-09 00:00:00,278.65,278.8,279.4,278.6,279.1,278.45,279.81,283.73,43774.0,-1.99,34.19,-2.64,-7.45,16.43,18.58,12.12,0.3
